original_name,source,suggested_cas,suggested_name,pubchem_cid,confidence,notes
dichlorprop,PubChem_API,120-36-5,"2-(2,4-dichlorophenoxy)propanoic acid",8427.0,High,Direct match from PubChem API.
Ricinine,PubChem_API,524-40-3,4-methoxy-1-methyl-2-oxopyridine-3-carbonitrile,10666.0,High,Direct match from PubChem API.
Berberine-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Berberine-1/property/IUPACName/JSON
3-phenylphenol,PubChem_API,580-51-8,3-phenylphenol,11381.0,High,Direct match from PubChem API.
(13C20)-OTA,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/(13C20)-OTA/property/IUPACName/JSON
Atrazine desethyl,PubChem_API,6190-65-4,"6-chloro-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",22563.0,High,Direct match from PubChem API.
Emamectin -methyl amino 1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Emamectin%20-methyl%20amino%201/property/IUPACName/JSON
Carbaryl-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Carbaryl-2/property/IUPACName/JSON
Hydrocodone-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Hydrocodone-2/property/IUPACName/JSON
Flubendazole,PubChem_API,31430-15-6,methyl N-[6-(4-fluorobenzoyl)-1H-benzimidazol-2-yl]carbamate,35802.0,High,Direct match from PubChem API.
diphenylamin,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/diphenylamin/property/IUPACName/JSON
pyrazosulfuron-ethyl,PubChem_API,93697-74-6,"ethyl 5-[(4,6-dimethoxypyrimidin-2-yl)carbamoylsulfamoyl]-1-methylpyrazole-4-carboxylate",91750.0,High,Direct match from PubChem API.
Ergocorninine,PubChem_API,564-37-4,"(6aR,9S)-N-[(1S,2S,4R,7S)-2-hydroxy-5,8-dioxo-4,7-di(propan-2-yl)-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",10007994.0,High,Direct match from PubChem API.
thionazin,PubChem_API,297-97-2,diethoxy-pyrazin-2-yloxy-sulfanylidene-lambda5-phosphane,9272.0,High,Direct match from PubChem API.
resmethrin-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/resmethrin-2/property/IUPACName/JSON
Ampicillin,PubChem_API,69-53-4,"(2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",6249.0,High,Direct match from PubChem API.
M8PFOA,PubChem_API,1350614-84-4,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro(1,2,3,4,5,6,7,8-13C8)octanoic acid",101375161.0,High,Direct match from PubChem API.
pymetrozin,PubChem_API,123312-89-0,"6-methyl-4-[(E)-pyridin-3-ylmethylideneamino]-2,5-dihydro-1,2,4-triazin-3-one",9576037.0,High,Direct match from PubChem API.
6-chloro-4-hydroxy-3-phenyl-pyridazin,PubChem_API,40020-01-7,6-chloro-3-phenyl-1H-pyridazin-4-one,92316.0,High,Direct match from PubChem API.
fentin-chloride,PubChem_API,639-58-7,chloro(triphenyl)stannane,12540.0,High,Direct match from PubChem API.
azinphos ethyl,PubChem_API,2642-71-9,"3-(diethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",17531.0,High,Direct match from PubChem API.
haloxyfop-2-ethoxyethyl,PubChem_API,87237-48-7,2-ethoxyethyl 2-[4-[[3-chloro-5-(trifluoromethyl)-2-pyridinyl]oxy]phenoxy]propanoate,91743.0,High,Direct match from PubChem API.
Diclofenac,PubChem_API,15307-86-5,"2-[2-(2,6-dichloroanilino)phenyl]acetic acid",3033.0,High,Direct match from PubChem API.
PFTeDA,PubChem_API,376-06-7,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-heptacosafluorotetradecanoic acid",67822.0,High,Direct match from PubChem API.
sulfallate,PubChem_API,95-06-7,"2-chloroprop-2-enyl N,N-diethylcarbamodithioate",7216.0,High,Direct match from PubChem API.
clopyralld,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/clopyralld/property/IUPACName/JSON
amidithion,PubChem_API,919-76-6,2-dimethoxyphosphinothioylsulfanyl-N-(2-methoxyethyl)acetamide,13525.0,High,Direct match from PubChem API.
Picrotin-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Picrotin-1/property/IUPACName/JSON
Ergotaminine,PubChem_API,639-81-6,"(6aR,9S)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",115248.0,High,Direct match from PubChem API.
Aldicarb-sulfoxide-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Aldicarb-sulfoxide-1/property/IUPACName/JSON
diafenthiuron,PubChem_API,80060-09-9,"1-tert-butyl-3-[4-phenoxy-2,6-di(propan-2-yl)phenyl]thiourea",3034380.0,High,Direct match from PubChem API.
Digoxigenin-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Digoxigenin-1/property/IUPACName/JSON
mefenacet,PubChem_API,73250-68-7,"2-(1,3-benzothiazol-2-yloxy)-N-methyl-N-phenylacetamide",91716.0,High,Direct match from PubChem API.
Aconitine-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Aconitine-2/property/IUPACName/JSON
"13C2,D4 6:2 FTS",PubChem_API,,,,None,"Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/13C2,D4%206:2%20FTS/property/IUPACName/JSON"
